"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,1,"AFG","Afghanistan",1,"Badakhshan","AF.BD",NA,"","Velayat","Province","","Badahšan"
2,1,"AFG","Afghanistan",2,"Badghis","AF.BG",NA,"","Velayat","Province","","Badghes|Badghisat|Badgis"
3,1,"AFG","Afghanistan",3,"Baghlan","AF.BL",NA,"","Velayat","Province","","Baglan|Bughlan"
4,1,"AFG","Afghanistan",4,"Balkh","AF.BK",NA,"","Velayat","Province","","Balh|Mazar-i-Sharif|Mazar"
5,1,"AFG","Afghanistan",5,"Bamyan","AF.BM",NA,"","Velayat","Province","",""
6,1,"AFG","Afghanistan",6,"Daykundi","AF.DK",NA,"","Velayat","Province","","<Null>"
7,1,"AFG","Afghanistan",7,"Farah","AF.FH",NA,"","Velayat","Province","",""
8,1,"AFG","Afghanistan",8,"Faryab","AF.FB",NA,"","Velayat","Province","","Fariab|Maimana|Meymaneh"
9,1,"AFG","Afghanistan",9,"Ghazni","AF.GZ",NA,"","Velayat","Province","","Gazni"
10,1,"AFG","Afghanistan",10,"Ghor","AF.GR",NA,"","Velayat","Province","","Gawr|Ghore|Ghour|Ghur"
11,1,"AFG","Afghanistan",11,"Hilmand","AF.HM",NA,"","Velayat","Province","","Girishk|Hilmend"
12,1,"AFG","Afghanistan",12,"Hirat","AF.HR",NA,"","Velayat","Province","",""
13,1,"AFG","Afghanistan",13,"Jawzjan","AF.JW",NA,"","Velayat","Province","","Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan"
14,1,"AFG","Afghanistan",14,"Kabul","AF.KB",NA,"","Velayat","Province","","Cabul|Kabol|Kaboul"
15,1,"AFG","Afghanistan",15,"Kandahar","AF.KD",NA,"","Velayat","Province","","Qandahar"
16,1,"AFG","Afghanistan",16,"Kapisa","AF.KP",NA,"","Velayat","Province","","Kapesa"
17,1,"AFG","Afghanistan",17,"Khost","AF.KT",NA,"","Velayat","Province","",""
18,1,"AFG","Afghanistan",18,"Kunar","AF.KR",NA,"","Velayat","Province","","Konarha|Kunarha"
19,1,"AFG","Afghanistan",19,"Kunduz","AF.KZ",NA,"","Velayat","Province","","Kondoz|Qonduz|Qunduz"
20,1,"AFG","Afghanistan",20,"Laghman","AF.LA",NA,"","Velayat","Province","","Lagman"
21,1,"AFG","Afghanistan",21,"Logar","AF.LW",NA,"","Velayat","Province","","Lawghar|Loghar"
22,1,"AFG","Afghanistan",22,"Nangarhar","AF.NG",NA,"","Velayat","Province","","Ningrahar|Eastern Province"
23,1,"AFG","Afghanistan",23,"Nimroz","AF.NM",NA,"","Velayat","Province","","Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur"
24,1,"AFG","Afghanistan",24,"Nuristan","AF.NR",NA,"","Velayat","Province","","Nooristan|Nuristão"
25,1,"AFG","Afghanistan",25,"Paktika","AF.PK",NA,"","Velayat","Province","","Paktiya|Paktya|Southern Province"
26,1,"AFG","Afghanistan",26,"Paktya","AF.PT",NA,"","Velayat","Province","","Paktiya|Southern Province"
27,1,"AFG","Afghanistan",27,"Panjshir","AF.PJ",NA,"","Velayat","Province","","<Null>"
28,1,"AFG","Afghanistan",28,"Parwan","AF.PV",NA,"","Velayat","Province","","Charikar"
29,1,"AFG","Afghanistan",29,"Samangan","AF.SM",NA,"","Velayat","Province","",""
30,1,"AFG","Afghanistan",30,"Sari Pul","AF.SP",NA,"","Velayat","Province","","Sar-e Pul|Saripol"
31,1,"AFG","Afghanistan",31,"Takhar","AF.TK",NA,"","Velayat","Province","","Takar"
32,1,"AFG","Afghanistan",32,"Uruzgan","AF.OZ",NA,"","Velayat","Province","","Urozgan"
33,1,"AFG","Afghanistan",33,"Wardak","AF.VR",NA,"","Velayat","Province","","Verdak|Wardag|Maiden"
34,1,"AFG","Afghanistan",34,"Zabul","AF.ZB",NA,"","Velayat","Province","","Zubul|Zaboul"
