ARGENTINA													
ELEVATION (m)	LATITUDE	LONGITUDE	DATE	"TPCP (total precipitation amout per month, mm)"	MNTM (mean monthly temp C)	YEAR (aegypti locations)	"ELEVATION (m, 5km x 5km)"	LAT	LONG	YEAR (albopictus)	"ELEVATION (m, 5km x 5km)"	LAT	LONG
20.4	-34.822	-58.536	20151101	197.1	20.7								
20.4	-34.822	-58.536	20151201	33.9	23.3								
888	-41.25	-68.733	20150401	13.4	10.1								
888	-41.25	-68.733	20150501	2.5	6.9								
888	-41.25	-68.733	20150601	18.2	4.2								
888	-41.25	-68.733	20150701	1.6	2.3								
888	-41.25	-68.733	20150801	10	5.9								
888	-41.25	-68.733	20150901	20.7	5.6								
888	-41.25	-68.733	20151001	6.1	7.8								
888	-41.25	-68.733	20151101	0	13.9								
888	-41.25	-68.733	20151201	5.4	17.7								
25	-34.583	-58.483	20150101	193.6	24								
25	-34.583	-58.483	20150201	37.6	25								
25	-34.583	-58.483	20150301	16.5	23.1								
25	-34.583	-58.483	20150401	70.2	21.5								
25	-34.583	-58.483	20150501	31.3	17.4								
25	-34.583	-58.483	20150601	69	13.3								
25	-34.583	-58.483	20150701	57.2	12.9								
25	-34.583	-58.483	20150801	265.8	15								
25	-34.583	-58.483	20150901	33.9	15								
25	-34.583	-58.483	20151001	83.5	15.8								
25	-34.583	-58.483	20151101	230.8	21.2								
25	-34.583	-58.483	20151201	55.6	25.1								
846.1	-41.151	-71.158	20150101	-9999	17.4								
846.1	-41.151	-71.158	20150201	4.1	16.3								
846.1	-41.151	-71.158	20150301	0	13.9								
846.1	-41.151	-71.158	20150401	32	10.2								
846.1	-41.151	-71.158	20150501	110.2	7.6								
846.1	-41.151	-71.158	20150601	275.2	4.2								
846.1	-41.151	-71.158	20150701	162	3.1								
846.1	-41.151	-71.158	20150801	193.2	4.5								
846.1	-41.151	-71.158	20150901	86	5.9								
846.1	-41.151	-71.158	20151001	8.8	8.2								
846.1	-41.151	-71.158	20151101	159.1	11.1								
846.1	-41.151	-71.158	20151201	12.5	13.6								
175	-37.237	-59.228	20150101	120.8	20.7								
175	-37.237	-59.228	20150201	46.7	21.5								
175	-37.237	-59.228	20150301	12.2	21								
175	-37.237	-59.228	20150401	191.9	16.7								
175	-37.237	-59.228	20150501	53.1	12.8								
175	-37.237	-59.228	20150601	37.6	9.5								
175	-37.237	-59.228	20150701	60.7	7.4								
175	-37.237	-59.228	20150801	154.3	10.9								
175	-37.237	-59.228	20150901	10.7	11								
175	-37.237	-59.228	20151001	80.2	11.2								
175	-37.237	-59.228	20151101	138	16.5								
175	-37.237	-59.228	20151201	27.5	22								
484.9	-33.73	-65.387	20150101	107.8	24.7								
484.9	-33.73	-65.387	20150201	206	22.4								
484.9	-33.73	-65.387	20150301	156.9	23.3								
484.9	-33.73	-65.387	20150401	136.9	19.9								
484.9	-33.73	-65.387	20150501	8.9	14.7								
484.9	-33.73	-65.387	20150601	-9999	11.4								
484.9	-33.73	-65.387	20150701	6.1	10.4								
484.9	-33.73	-65.387	20150801	37	13.7								
484.9	-33.73	-65.387	20150901	63.3	14.3								
484.9	-33.73	-65.387	20151001	59.1	15.4								
484.9	-33.73	-65.387	20151101	178.1	19.3								
484.9	-33.73	-65.387	20151201	69.8	23.9								
344.7	-41.943	-71.532	20150101	0	19.5								
344.7	-41.943	-71.532	20150201	8.1	17.7								
344.7	-41.943	-71.532	20150301	1	16								
344.7	-41.943	-71.532	20150401	37.1	11.7								
344.7	-41.943	-71.532	20150501	118.1	8.9								
344.7	-41.943	-71.532	20150601	187.3	5.6								
344.7	-41.943	-71.532	20150701	158.3	5.5								
344.7	-41.943	-71.532	20150801	193.9	6.5								
344.7	-41.943	-71.532	20150901	23.5	7.7								
344.7	-41.943	-71.532	20151001	16	10.8								
344.7	-41.943	-71.532	20151101	18.5	13.9								
344.7	-41.943	-71.532	20151201	10.1	16.1								
583.7	-31.945	-65.146	20150101	103.4	26.7								
583.7	-31.945	-65.146	20150201	115.2	25.2								
583.7	-31.945	-65.146	20150301	93.8	22.7								
583.7	-31.945	-65.146	20150401	15.9	22.5								
583.7	-31.945	-65.146	20150501	3.8	17.7								
583.7	-31.945	-65.146	20150601	4.4	13.3								
583.7	-31.945	-65.146	20150701	8.1	13.9								
583.7	-31.945	-65.146	20150801	1.8	16.6								
583.7	-31.945	-65.146	20150901	8.9	17.9								
583.7	-31.945	-65.146	20151001	62.2	17.6								
583.7	-31.945	-65.146	20151101	111.5	21.6								
583.7	-31.945	-65.146	20151201	68.1	25.2								
9	-36.35	-57.733	20150101	131	23.4								
9	-36.35	-57.733	20150201	89.1	23.2								
9	-36.35	-57.733	20150301	12.4	21.2								
9	-36.35	-57.733	20150401	63.3	17.6								
9	-36.35	-57.733	20150501	100.2	15.8								
9	-36.35	-57.733	20150601	11.9	11								
9	-36.35	-57.733	20150701	82.3	10.8								
9	-36.35	-57.733	20150801	272	12.7								
9	-36.35	-57.733	20150901	23.1	13								
9	-36.35	-57.733	20151001	78.1	14.1								
9	-36.35	-57.733	20151101	95.7	18.2								
9	-36.35	-57.733	20151201	86.2	22.2								
273	-38.95	-68.133	20150101	3	24.6								
273	-38.95	-68.133	20150201	11.9	24.6								
273	-38.95	-68.133	20150301	0	21.7								
273	-38.95	-68.133	20150401	22.1	16.8								
273	-38.95	-68.133	20150501	0	11.7								
273	-38.95	-68.133	20150601	6.4	8.3								
273	-38.95	-68.133	20150701	7.6	7.9								
273	-38.95	-68.133	20150801	17	11.1								
273	-38.95	-68.133	20150901	22.2	11.4								
273	-38.95	-68.133	20151001	8.4	14.3								
273	-38.95	-68.133	20151101	0	19.6								
273	-38.95	-68.133	20151201	113.5	24.1								
