Lat,Long,DATES,PDATA,TDATA,DengueCases
17.925,-67.925,20150101,157.764119084845,28.8957646347494,0
17.975,-67.925,20150101,171.702222143308,28.9316150901002,0
18.025,-67.925,20150101,173.522975979127,28.9642582089078,0
18.075,-67.925,20150101,175.343729814947,28.9936939911725,0
18.125,-67.925,20150101,177.164483650767,29.019922436894,0
18.175,-67.925,20150101,178.985237486587,29.0222668267304,0
18.225,-67.925,20150101,180.805991322407,28.9510452116191,0
18.275,-67.925,20150101,182.626745158227,28.8798235965077,0
18.325,-67.925,20150101,184.447498994047,28.8086019813964,0
18.375,-67.925,20150101,186.268252829867,28.737380366285,0
18.425,-67.925,20150101,188.089006665686,28.6661587511737,0
18.475,-67.925,20150101,189.909760501507,28.5949371360623,0
17.925,-67.875,20150101,143.782816213823,28.6158747903553,0
17.975,-67.875,20150101,161.443227941901,28.6465412784515,0
18.025,-67.875,20150101,167.563744883542,28.6740004300045,0
18.075,-67.875,20150101,169.384498719362,28.6982522450146,0
18.125,-67.875,20150101,171.205252555182,28.7192967234816,0
18.175,-67.875,20150101,173.026006391002,28.7371338654055,0
18.225,-67.875,20150101,174.846760226822,28.6713282844846,0
18.275,-67.875,20150101,176.667514062642,28.6001066693733,0
18.325,-67.875,20150101,178.488267898462,28.5288850542619,0
18.375,-67.875,20150101,180.309021734282,28.4576634391506,0
18.425,-67.875,20150101,182.129775570101,28.3864418240392,0
18.475,-67.875,20150101,183.950529405922,28.3152202089278,0
17.925,-67.825,20150101,130.693576622718,28.3391922825042,0
17.975,-67.825,20150101,147.78535135103,28.3646748033458,0
18.025,-67.825,20150101,161.604513787957,28.3869499876443,0
18.075,-67.825,20150101,163.425267623777,28.4060178353999,0
18.125,-67.825,20150101,165.246021459597,28.4218783466122,0
18.175,-67.825,20150101,167.066775295417,28.4345315212816,0
18.225,-67.825,20150101,168.887529131237,28.3916113573502,0
18.275,-67.825,20150101,170.708282967057,28.3203897422388,0
18.325,-67.825,20150101,172.529036802877,28.2491681271275,0
18.375,-67.825,20150101,174.349790638697,28.1779465120161,0
18.425,-67.825,20150101,176.170544474516,28.1067248969048,0
18.475,-67.825,20150101,177.991298310337,28.0355032817934,0
17.925,-67.775,20150101,118.496400311531,28.0657171111962,0
17.975,-67.775,20150101,135.019538040076,28.0860156647833,0
18.025,-67.775,20150101,150.650612488698,28.1031068818272,0
18.075,-67.775,20150101,157.466036528192,28.1169907623281,0
18.125,-67.775,20150101,159.286790364012,28.1276673062859,0
18.175,-67.775,20150101,161.107544199832,28.1351365137007,0
18.225,-67.775,20150101,162.928298035652,28.1118944302157,0
18.275,-67.775,20150101,164.749051871472,28.0406728151044,0
18.325,-67.775,20150101,166.569805707292,27.969451199993,0
18.375,-67.775,20150101,168.390559543112,27.8982295848817,0
18.425,-67.775,20150101,170.211313378931,27.8270079697703,0
18.475,-67.775,20150101,172.032067214752,27.7557863546589,0
17.925,-67.725,20150101,107.191287280261,27.7954492764313,0
17.975,-67.725,20150101,123.145788009038,27.8105638627638,0
18.025,-67.725,20150101,138.208225457894,27.8224711125532,0
18.075,-67.725,20150101,151.506805432607,27.8311710257995,0
18.125,-67.725,20150101,153.327559268427,27.8366636025027,0
18.175,-67.725,20150101,155.148313104247,27.838948842663,0
