"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,4,"ALB","Albania",1,"Berat",1,"Beratit","AL.BE.BR",NA,"80002","Rreth","District","","Berat"
2,4,"ALB","Albania",1,"Berat",2,"Kuçovës","AL.BE.KC",NA,"80003","Rreth","District","","Kuçovë"
3,4,"ALB","Albania",1,"Berat",3,"Skraparit","AL.BE.SK",NA,"80004","Rreth","District","","Skaprar|Skrapar"
4,4,"ALB","Albania",2,"Dibër",4,"Bulqizës","AL.DB.BU",NA,"80006","Rreth","District","","Bulcuizë|Bulqizë"
5,4,"ALB","Albania",2,"Dibër",5,"Dibrës","AL.DB.DI",NA,"80007","Rreth","District","","Dibra|Dibrë|Dibër"
6,4,"ALB","Albania",2,"Dibër",6,"Matit","AL.DB.MT",NA,"80008","Rreth","District","","Mat"
7,4,"ALB","Albania",3,"Durrës",7,"Durrësit","AL.DU.DR",NA,"80010","Rreth","District","","Durresi|Durrsi|Durazzo"
8,4,"ALB","Albania",3,"Durrës",8,"Krujës","AL.DU.KR",NA,"80011","Rreth","District","","Krujë"
9,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit","AL.EB.EL",NA,"80013","Rreth","District","","Elbasan"
10,4,"ALB","Albania",4,"Elbasan",10,"Gramshit","AL.EB.GR",NA,"80014","Rreth","District","","Gramsh"
11,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit","AL.EB.LB",NA,"80015","Rreth","District","","Librazhd"
12,4,"ALB","Albania",4,"Elbasan",12,"Peqinit","AL.EB.PQ",NA,"80016","Rreth","District","","Pequin"
13,4,"ALB","Albania",5,"Fier",13,"Fierit","AL.FI.FR",NA,"80018","Rreth","District","","Fier"
14,4,"ALB","Albania",5,"Fier",14,"Lushnjës","AL.FI.LU",NA,"80019","Rreth","District","","Lushenjë|Lushnja|Lushnjë"
15,4,"ALB","Albania",5,"Fier",15,"Mallakastrës","AL.FI.MK",NA,"80020","Rreth","District","","Mallkastër"
16,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës","AL.GK.GJ",NA,"80022","Rreth","District","","Gjinokastër|Argirocastro|Argyrocastro|Argyrokastron|Gjirokastër"
17,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit","AL.GK.PR",NA,"80023","Rreth","District","","Përmet"
18,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës","AL.GK.TE",NA,"80024","Rreth","District","","Tepelenë"
19,4,"ALB","Albania",7,"Korçë",19,"Devollit","AL.KE.DV",NA,"80026","Rreth","District","","Devoll"
20,4,"ALB","Albania",7,"Korçë",20,"Kolonjës","AL.KE.ER",NA,"80027","Rreth","District","","Ersekë|Kolonja|Kolonjë"
21,4,"ALB","Albania",7,"Korçë",21,"Korçës","AL.KE.KO",NA,"80028","Rreth","District","","Coriza|Corizza|Koritsa|Koritza|Korça|Kortscha|Korçë"
22,4,"ALB","Albania",7,"Korçë",22,"Pogradecit","AL.KE.PG",NA,"80029","Rreth","District","","Pogradec"
23,4,"ALB","Albania",8,"Kukës",23,"Has","AL.KK.HA",NA,"80031","Rreth","District","",""
24,4,"ALB","Albania",8,"Kukës",24,"Kukësit","AL.KK.KU",NA,"80032","Rreth","District","","Kosova|Kossovo|Kukës"
25,4,"ALB","Albania",8,"Kukës",25,"Tropojës","AL.KK.TP",NA,"80033","Rreth","District","","Tropojë"
26,4,"ALB","Albania",9,"Lezhë",26,"Kurbinit","AL.LZ.KB",NA,"80035","Rreth","District","","Kurbin"
27,4,"ALB","Albania",9,"Lezhë",27,"Lezhës","AL.LZ.LE",NA,"80036","Rreth","District","","Alessio|Lezha|Lezhë"
28,4,"ALB","Albania",9,"Lezhë",28,"Mirditës","AL.LZ.MR",NA,"80037","Rreth","District","","Mirditë"
29,4,"ALB","Albania",9,"Lezhë",29,"Shkodrës","AL.SD.SH",NA,"80041","Rreth","District","","Escútari|Shkodra|Skodër|Scutari|Shkodër"
30,4,"ALB","Albania",10,"Shkodër",30,"Malësi e Madhe","AL.SD.MM",NA,"80039","Rreth","District","",""
31,4,"ALB","Albania",10,"Shkodër",31,"Pukës","AL.SD.PU",NA,"80040","Rreth","District","","Pukë"
32,4,"ALB","Albania",10,"Shkodër",32,"Shkodrës","AL.SD.SH",NA,"80041","Rreth","District","","Escútari|Shkodra|Skodër|Scutari|Shkodër"
33,4,"ALB","Albania",11,"Tiranë",33,"Kavajës","AL.TI.KA",NA,"80043","Rreth","District","","Kavajë"
34,4,"ALB","Albania",11,"Tiranë",34,"Tiranës","AL.TI.TR",NA,"80044","Rreth","District","","Tiran|Tirana|Tiranë"
35,4,"ALB","Albania",12,"Vlorë",35,"Delvinës","AL.VR.DL",NA,"80046","Rreth","District","","Delvinë"
36,4,"ALB","Albania",12,"Vlorë",36,"Sarandës","AL.VR.SR",NA,"80047","Rreth","District","","Sarandë"
37,4,"ALB","Albania",12,"Vlorë",37,"Vlorës","AL.VR.VL",NA,"80048","Rreth","District","","Vlona|Vlora|Vlonë|Valona|Vlorë"
