"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,2,"XAD","Akrotiri and Dhekelia",1,"Akrotiri
","",NA,"","Sovereign Base Area","Sovereign Base Area","","Western Sovereign Base Area"
2,2,"XAD","Akrotiri and Dhekelia",2,"Dhekelia","",NA,"","Sovereign Base Area","Sovereign Base Area","","Eastern Sovereign Base Area"
