"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,4,"ALB","Albania",1,"Berat","AL.BE",NA,"80001","Qark|Region","County","",""
2,4,"ALB","Albania",2,"Dibër","AL.DB",NA,"80005","Qark|Region","County","","Dibra| Dibrë"
3,4,"ALB","Albania",3,"Durrës","AL.DU",NA,"80009","Qark|Region","County","","Durresi|Durrsi|Durazzo"
4,4,"ALB","Albania",4,"Elbasan","AL.EB",NA,"80012","Qark|Region","County","",""
5,4,"ALB","Albania",5,"Fier","AL.FI",NA,"80017","Qark|Region","County","",""
6,4,"ALB","Albania",6,"Gjirokastër","AL.GK",NA,"80021","Qark|Region","County","","Gjinokastër|Argirocastro|Argyrocastro|Argyrokastron"
7,4,"ALB","Albania",7,"Korçë","AL.KE",NA,"80025","Qark|Region","County","","Coriza|Corizza|Koritsa|Koritza|Korça|Kortscha"
8,4,"ALB","Albania",8,"Kukës","AL.KK",NA,"80030","Qark|Region","County","","Kosova|Kossovo"
9,4,"ALB","Albania",9,"Lezhë","AL.LZ",NA,"80034","Qark|Region","County","","Alessio|Lezha"
10,4,"ALB","Albania",10,"Shkodër","AL.SD",NA,"80038","Qark|Region","County","","Escútari|Shkodra|Skodë|Scutari"
11,4,"ALB","Albania",11,"Tiranë","AL.TI",NA,"80042","Qark|Region","County","","Tiran|Tirana"
12,4,"ALB","Albania",12,"Vlorë","AL.VR",NA,"80045","Qark|Region","County","","Vlona|Vlora|Vlonë|Valona"
