"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,4,"ALB","Albania",1,"Berat",1,"Beratit",1,"Berat",NA,"","Bashkia","Bashkia","",""
2,4,"ALB","Albania",1,"Berat",1,"Beratit",2,"Cukalat",NA,"","Commune","Commune","","Cukalt"
3,4,"ALB","Albania",1,"Berat",1,"Beratit",3,"Kutalli",NA,"","Commune","Commune","","Kutali"
4,4,"ALB","Albania",1,"Berat",1,"Beratit",4,"Lumas",NA,"","Commune","Commune","",""
5,4,"ALB","Albania",1,"Berat",1,"Beratit",5,"Otllak",NA,"","Commune","Commune","","Otilak"
6,4,"ALB","Albania",1,"Berat",1,"Beratit",6,"Poshnjë",NA,"","Commune","Commune","",""
7,4,"ALB","Albania",1,"Berat",1,"Beratit",7,"Roshnik",NA,"","Commune","Commune","",""
8,4,"ALB","Albania",1,"Berat",1,"Beratit",8,"Sinjë",NA,"","Commune","Commune","",""
9,4,"ALB","Albania",1,"Berat",1,"Beratit",9,"Tërpan",NA,"","Commune","Commune","",""
10,4,"ALB","Albania",1,"Berat",1,"Beratit",10,"Ura Vajgurorë",NA,"","Bashkia","Bashkia","",""
11,4,"ALB","Albania",1,"Berat",1,"Beratit",11,"Velabisht",NA,"","Commune","Commune","",""
12,4,"ALB","Albania",1,"Berat",1,"Beratit",12,"Vertop",NA,"","Commune","Commune","",""
13,4,"ALB","Albania",1,"Berat",2,"Kuçovës",13,"Kozarë",NA,"","Commune","Commune","",""
14,4,"ALB","Albania",1,"Berat",2,"Kuçovës",14,"Kuçovë",NA,"","Commune","Commune","",""
15,4,"ALB","Albania",1,"Berat",2,"Kuçovës",15,"Perondi",NA,"","Commune","Commune","",""
16,4,"ALB","Albania",1,"Berat",3,"Skraparit",16,"Çepan",NA,"","Commune","Commune","",""
17,4,"ALB","Albania",1,"Berat",3,"Skraparit",17,"Çorovodë",NA,"","Bashkia","Bashkia","",""
18,4,"ALB","Albania",1,"Berat",3,"Skraparit",18,"Bogovë",NA,"","Commune","Commune","",""
19,4,"ALB","Albania",1,"Berat",3,"Skraparit",19,"Gjerbes",NA,"","Commune","Commune","",""
20,4,"ALB","Albania",1,"Berat",3,"Skraparit",20,"Leshnjë",NA,"","Commune","Commune","",""
21,4,"ALB","Albania",1,"Berat",3,"Skraparit",21,"Poliçan",NA,"","Commune","Commune","",""
22,4,"ALB","Albania",1,"Berat",3,"Skraparit",22,"Potom",NA,"","Commune","Commune","",""
23,4,"ALB","Albania",1,"Berat",3,"Skraparit",23,"Qendër",NA,"","Commune","Commune","","Qender Polican"
24,4,"ALB","Albania",1,"Berat",3,"Skraparit",24,"Vendreshë",NA,"","Commune","Commune","",""
25,4,"ALB","Albania",1,"Berat",3,"Skraparit",25,"Zhepë",NA,"","Commune","Commune","",""
26,4,"ALB","Albania",2,"Dibër",4,"Bulqizës",26,"Bulqizë",NA,"","Bashkia","Bashkia","",""
27,4,"ALB","Albania",2,"Dibër",4,"Bulqizës",27,"Fushë Bulqizë",NA,"","Commune","Commune","",""
28,4,"ALB","Albania",2,"Dibër",4,"Bulqizës",28,"Gjoricë",NA,"","Commune","Commune","",""
29,4,"ALB","Albania",2,"Dibër",4,"Bulqizës",29,"Ostren",NA,"","Commune","Commune","",""
30,4,"ALB","Albania",2,"Dibër",4,"Bulqizës",30,"Shupenzë",NA,"","Commune","Commune","",""
31,4,"ALB","Albania",2,"Dibër",4,"Bulqizës",31,"Steblevë",NA,"","Commune","Commune","",""
32,4,"ALB","Albania",2,"Dibër",4,"Bulqizës",32,"Trebisht",NA,"","Commune","Commune","",""
33,4,"ALB","Albania",2,"Dibër",4,"Bulqizës",33,"Zerqan",NA,"","Commune","Commune","",""
34,4,"ALB","Albania",2,"Dibër",5,"Dibrës",34,"Arras",NA,"","Commune","Commune","",""
35,4,"ALB","Albania",2,"Dibër",5,"Dibrës",35,"Fushë Çidhen",NA,"","Commune","Commune","",""
36,4,"ALB","Albania",2,"Dibër",5,"Dibrës",36,"Kala e Dodës",NA,"","Commune","Commune","",""
37,4,"ALB","Albania",2,"Dibër",5,"Dibrës",37,"Kastriot",NA,"","Commune","Commune","",""
38,4,"ALB","Albania",2,"Dibër",5,"Dibrës",38,"Lurë",NA,"","Commune","Commune","",""
39,4,"ALB","Albania",2,"Dibër",5,"Dibrës",39,"Luzni",NA,"","Commune","Commune","",""
40,4,"ALB","Albania",2,"Dibër",5,"Dibrës",40,"Maqellarë",NA,"","Commune","Commune","",""
41,4,"ALB","Albania",2,"Dibër",5,"Dibrës",41,"Melan",NA,"","Commune","Commune","",""
42,4,"ALB","Albania",2,"Dibër",5,"Dibrës",42,"Muhurr",NA,"","Commune","Commune","","Muhur| Fushe Muhurr"
43,4,"ALB","Albania",2,"Dibër",5,"Dibrës",43,"Peshkopi",NA,"","Bashkia","Bashkia","",""
44,4,"ALB","Albania",2,"Dibër",5,"Dibrës",44,"Qendër Tomin",NA,"","Commune","Commune","",""
45,4,"ALB","Albania",2,"Dibër",5,"Dibrës",45,"Selishtë",NA,"","Commune","Commune","",""
46,4,"ALB","Albania",2,"Dibër",5,"Dibrës",46,"Sllovë",NA,"","Commune","Commune","",""
47,4,"ALB","Albania",2,"Dibër",5,"Dibrës",47,"Zall Dardhë",NA,"","Commune","Commune","",""
48,4,"ALB","Albania",2,"Dibër",5,"Dibrës",48,"Zall Reç",NA,"","Commune","Commune","",""
49,4,"ALB","Albania",2,"Dibër",6,"Matit",49,"Baz",NA,"","Commune","Commune","",""
