"","Aguascalientes","Baja California","Baja California Sur","Campeche","Chiapas","Chihuahua","Coahuila","Colima","Distrito Federal","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz","Yucatán","Zacatecas","total"
"1986-10-15",0,0,107,1,27,0,6,225,0,0,1,43,11,323,3,52,2,270,202,279,481,10,6,38,243,44,11,243,0,1998,4,0,4630
"1986-11-15",0,0,253,3,13,0,7,266,0,0,0,137,1,372,0,59,4,232,1284,92,0,0,0,74,117,0,12,8,0,357,3,0,3294
"1986-12-15",0,72,96,17,7,0,0,205,0,0,0,138,0,113,0,0,0,415,413,189,59,13,0,12,129,0,5,8,0,68,0,0,1959
"1987-01-15",0,0,3,0,4,0,0,42,0,0,0,24,0,8,0,34,0,24,2,347,7,0,3,0,43,0,26,0,0,9,0,0,576
"1987-02-15",0,0,20,5,6,0,0,15,0,0,0,47,0,9,0,5,0,13,2,90,29,0,4,1,19,0,7,2,0,20,1,0,295
"1987-03-15",0,0,3,4,2,0,0,8,0,0,0,46,0,9,0,4,16,4,9,26,20,0,1,2,36,0,2,0,0,2,0,0,194
"1987-04-15",0,0,9,11,5,0,0,22,0,0,0,51,0,14,0,0,3,78,0,21,8,0,1,2,0,0,0,1,0,9,3,0,238
"1987-05-15",0,0,8,6,6,0,0,15,0,0,3,7,0,9,0,1,0,27,0,38,5,0,3,1,3,0,4,3,0,65,0,0,204
"1987-06-15",0,0,9,4,6,0,0,14,0,0,0,44,0,91,0,12,4,168,2,32,7,0,2,3,4,0,8,1,0,9,1,0,421
"1987-07-15",0,0,1,9,43,0,0,14,0,0,0,70,0,132,0,0,19,400,2,65,3,1,4,0,11,0,12,2,0,29,0,0,817
"1987-08-15",0,0,4,16,34,0,0,42,0,0,0,136,0,384,0,16,36,236,9,84,16,0,14,1,8,4,32,0,0,12,1,0,1085
"1987-09-15",0,0,1,22,75,0,1,107,0,0,0,281,0,549,0,22,164,571,43,1049,29,1,9,0,28,0,27,2,0,51,5,0,3037
"1987-10-15",0,0,5,24,79,0,0,139,0,0,0,241,0,338,0,25,231,220,490,597,31,1,12,0,13,0,10,2,0,81,0,0,2539
"1987-11-15",0,0,6,26,28,0,0,213,0,0,0,237,0,295,0,66,130,365,25,707,30,2,2,0,159,0,6,1,0,19,0,0,2317
"1987-12-15",0,0,6,15,57,0,0,209,0,0,0,164,0,89,0,45,23,549,15,244,5,1,3,0,154,0,2,0,0,13,3,51,1648
"1988-01-15",0,0,1,0,21,0,0,46,0,0,0,34,0,61,0,14,25,13,3,86,1,0,6,0,27,0,1,1,0,3,1,0,344
"1988-02-15",0,0,3,0,4,1,0,46,0,0,0,60,0,9,0,25,15,5,0,41,3,0,7,0,17,0,0,0,0,10,2,0,248
"1988-03-15",0,0,3,1,13,0,0,39,0,0,0,59,0,14,0,36,2,6,1,48,3,0,13,0,5,0,0,0,0,10,0,0,253
"1988-04-15",0,0,5,3,10,0,0,48,0,0,0,52,0,22,0,18,3,3,0,25,1,0,6,1,4,0,2,1,0,10,3,0,217
"1988-05-15",0,0,6,2,44,0,0,48,0,0,0,58,0,5,0,12,7,23,1,61,0,1,9,0,0,0,0,20,0,23,0,0,320
"1988-06-15",0,0,1,56,75,0,0,22,0,0,0,90,0,21,0,12,3,27,2,44,8,1,11,0,2,0,1,4,0,28,0,0,408
"1988-07-15",0,0,1,249,45,0,0,22,0,0,0,78,0,13,0,44,1,8,1,123,0,1,20,1,1,0,4,0,0,20,2,0,634
"1988-08-15",0,0,1,236,77,0,0,42,0,0,0,133,0,33,0,48,3,15,4,85,21,1,37,0,11,0,3,59,0,43,13,0,865
"1988-09-15",0,0,2,45,68,0,0,38,0,0,0,57,0,192,0,16,0,86,9,187,20,2,52,0,9,0,7,23,0,45,5,0,863
"1988-10-15",0,0,4,31,54,0,0,27,1,0,0,76,0,767,0,23,0,205,39,119,0,0,9,0,39,0,0,2,0,36,0,0,1432
"1988-11-15",0,0,2,12,56,0,0,34,0,0,0,37,0,612,0,31,8,108,186,119,41,0,25,0,141,64,1,12,0,65,8,0,1562
"1988-12-15",0,0,0,10,25,1,0,7,0,0,0,80,1,2980,0,14,0,20,7,40,0,0,9,0,178,0,0,3,0,3,1,1,3380
"1989-01-15",0,0,1,1,25,0,0,4,0,0,0,80,1,8,0,13,0,12,1,24,22,0,1,0,13,0,0,4,0,8,0,0,218
"1989-02-15",0,0,0,1,28,0,0,15,0,0,0,45,0,17,1,13,1,5,0,34,9,0,8,0,20,0,1,0,0,6,0,0,204
"1989-03-15",0,0,0,2,32,0,0,28,0,0,0,57,0,1,0,8,0,16,0,24,4,1,4,0,4,0,3,0,0,10,7,0,201
"1989-04-15",0,0,2,3,34,0,0,16,0,0,0,29,0,2,0,4,1,22,1,52,17,1,26,0,7,0,2,0,0,25,0,0,244
"1989-05-15",0,0,1,20,37,0,0,20,0,0,0,45,7,0,0,2,1,21,1,39,8,0,2,0,1,0,2,0,0,18,0,0,225
"1989-06-15",0,0,1,4,48,0,0,12,0,0,0,26,6,140,1,2,0,15,0,39,33,0,6,0,1,0,2,0,0,30,0,0,366
"1989-07-15",0,0,1,3,69,0,0,16,0,0,0,48,12,42,1,1,0,25,1,46,2,0,3,0,10,0,0,1,0,11,0,0,292
"1989-08-15",0,0,4,1,60,0,0,16,0,0,0,39,179,59,0,3,1,103,6,83,37,0,8,49,2,0,2,1,0,86,0,0,739
"1989-09-15",0,0,1,2,36,0,0,48,0,0,0,45,131,34,0,0,3,71,10,112,5,0,3,50,46,0,1,0,0,523,4,0,1125
"1989-10-15",0,0,27,3,59,0,0,44,0,0,2,67,53,86,0,5,1,205,28,167,13,0,1,100,210,0,5,3,0,276,0,0,1355
"1989-11-15",1,0,33,3,53,0,0,39,0,2,7,51,1,54,0,25,0,39,90,120,15,0,2,65,337,1,1,319,0,389,0,0,1647
"1989-12-15",0,0,11,1,19,1,0,18,0,0,0,27,0,13,0,3,0,15,11,18,33,0,4,3,174,0,43,43,0,68,0,0,505
"1990-01-15",0,0,8,1,24,0,0,44,0,0,1,26,0,0,0,2,1,10,9,56,81,0,7,50,64,0,6,57,0,85,1,0,533
"1990-02-15",0,0,2,4,34,0,0,30,0,0,0,67,0,3,0,5,0,2,1,51,37,0,7,18,62,0,4,32,0,88,1,0,448
"1990-03-15",0,0,1,0,37,0,0,16,0,16,0,50,0,2,0,2,0,3,1,28,26,0,5,3,36,0,11,29,0,25,9,0,300
"1990-04-15",0,0,1,0,16,0,0,17,0,0,0,40,0,1,0,5,0,3,0,39,16,1,6,0,36,0,0,0,0,20,0,0,201
"1990-05-15",0,0,4,4,39,0,0,3,0,0,2,37,2,9,0,0,0,0,0,22,13,0,0,0,20,0,0,6,0,21,0,0,182
"1990-06-15",0,0,0,1,28,0,0,18,0,0,0,13,0,1,0,1,0,67,0,7,8,0,2,3,6,0,0,1,0,4,1,0,161
"1990-07-15",0,0,2,1,116,0,0,10,0,0,0,28,0,17,0,3,0,45,0,19,12,0,0,37,38,0,0,1,0,48,61,0,438
"1990-08-15",0,0,0,1,44,8,0,3,0,0,0,52,0,24,15,6,0,38,0,58,5,0,4,0,50,0,1,0,0,40,0,0,349
"1990-09-15",0,0,0,0,22,0,0,11,0,0,0,32,0,19,1,8,0,96,76,89,3,0,1,155,96,0,1,8,0,136,0,0,754
"1990-10-15",0,0,0,15,66,0,58,14,0,0,0,82,0,82,0,113,0,96,76,89,3,0,1,155,96,0,1,8,0,136,0,0,1091
"1990-11-15",0,0,0,5,32,0,11,22,0,0,0,47,0,13,0,9,0,143,782,219,13,0,0,14,744,0,20,1227,0,95,0,0,3396
"1990-12-15",0,0,0,1,27,0,0,33,0,0,0,142,0,41,0,8,0,64,164,73,7,0,0,1,623,0,3,433,0,45,0,0,1665
"1991-01-15",0,0,0,0,47,0,2,4,1,0,1,22,0,13,0,19,0,41,13,59,13,0,0,6,242,0,1,20,0,2,0,0,506
"1991-02-15",0,0,1,0,18,0,0,4,0,0,0,19,0,10,0,21,0,20,1,47,17,0,0,1,49,0,1,10,0,5,0,0,224
"1991-03-15",0,0,0,1,10,0,0,1,0,0,0,7,0,24,0,10,2,32,3,14,4,0,0,2,47,0,7,12,0,1,0,0,177
"1991-04-15",0,0,1,0,31,0,0,1,0,0,0,20,0,0,0,16,1,13,0,13,5,0,0,4,34,0,1,12,0,1,0,0,153
"1991-05-15",0,0,0,2,42,0,4,5,0,0,0,15,5,23,0,17,1,13,1,15,352,0,0,2,41,0,0,6,0,4,0,0,548
"1991-06-15",0,0,0,1,14,0,0,2,0,0,0,9,0,8,0,6,0,66,0,26,18,0,9,2,22,0,0,5,0,18,0,0,206
"1991-07-15",0,0,4,4,44,0,6,0,0,0,0,18,0,7,0,9,1,22,1,25,5,0,75,0,47,0,1,2,0,11,0,0,282
"1991-08-15",0,0,3,1,8,0,0,4,0,0,0,14,0,3,0,4,1,23,1,332,0,0,12,0,18,0,12,0,0,34,7,0,477
"1991-09-15",0,0,2,10,33,0,0,4,0,0,0,43,0,26,0,3,0,148,10,427,0,0,0,4,49,0,26,8,0,60,48,0,901
"1991-10-15",0,0,125,10,40,0,0,4,0,0,0,21,0,31,0,22,0,100,37,291,8,0,0,13,95,0,21,11,0,160,124,0,1113
"1991-11-15",0,0,249,1,16,0,0,5,0,0,0,16,0,26,0,12,0,181,5,141,5,0,3,2,106,5,11,1,0,18,62,0,865
"1991-12-15",0,0,56,1,2,0,0,2,0,0,0,13,0,8,0,13,0,147,16,46,0,0,0,0,84,0,2,0,0,0,23,0,413
"1992-01-15",0,0,17,2,14,0,0,0,0,0,0,1,0,15,0,7,0,56,0,31,15,0,0,1,28,0,8,0,0,1,5,0,201
"1992-02-15",0,0,4,2,12,0,0,1,0,0,0,1,0,1,0,8,0,46,0,13,8,0,0,0,11,0,1,0,0,3,1,0,112
"1992-03-15",0,0,2,1,0,0,0,1,0,0,0,10,0,0,0,3,0,22,0,25,28,1,0,0,14,0,1,0,1,3,1,0,113
"1992-04-15",0,0,2,0,5,0,0,1,0,0,0,8,0,1,0,4,0,15,0,23,11,0,0,0,6,0,0,0,0,0,0,0,76
"1992-05-15",0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,2,0,17,0,17,32,0,2,0,10,0,2,1,0,1,3,0,94
"1992-06-15",0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,2,0,39,0,35,0,0,0,0,136,0,0,0,0,1,0,0,221
"1992-07-15",0,0,2,0,3,0,0,7,0,0,0,27,0,3,0,3,0,48,0,22,33,0,0,0,24,0,0,2,0,1,4,0,179
"1992-08-15",0,0,0,1,1,0,0,1,0,0,0,13,1,0,0,3,3,69,1,27,60,0,0,0,49,0,1,0,0,5,2,0,237
"1992-09-15",0,0,2,6,17,0,0,7,0,1,0,20,0,4,0,9,0,314,0,23,41,0,0,0,991,0,3,0,0,253,8,5,1704
"1992-10-15",0,0,8,6,2,52,0,23,0,0,0,53,0,24,0,38,0,106,0,48,9,0,0,0,2947,0,3,9,0,44,1,0,3373
"1992-11-15",0,0,39,0,3,49,61,18,0,0,0,55,0,30,0,41,10,69,0,39,0,0,2,0,1119,0,1,8,0,7,4,0,1555
"1992-12-15",0,0,5,0,10,3,149,28,0,0,0,34,0,12,0,31,9,38,0,16,0,0,0,0,122,3596,0,4,0,3,0,0,4060
"1993-01-15",0,0,1,1,4,0,0,1,0,0,0,0,0,2,0,28,7,20,0,7,0,0,0,0,14,0,0,0,0,3,1,0,89
"1993-02-15",0,0,0,0,1,0,0,2,0,2,0,6,0,0,0,13,0,18,0,4,0,0,0,0,10,0,0,1,2,4,1,0,64
"1993-03-15",0,0,0,0,6,11,13,1,0,0,0,14,0,0,0,11,0,8,0,2,0,0,0,0,7,0,2,0,0,3,3,0,81
"1993-04-15",0,0,1,1,4,0,0,2,0,0,0,7,0,0,0,12,8,21,0,3,0,0,0,0,1,0,2,0,0,0,2,0,64
"1993-05-15",0,0,1,2,7,0,0,4,0,0,0,33,0,0,0,27,6,32,0,5,0,0,0,0,22,0,3,2,0,47,1,0,192
"1993-06-15",0,1,0,4,6,0,0,0,0,0,0,5,0,1,0,0,1,9,0,10,0,0,0,0,2,0,0,0,0,23,0,0,62
"1993-07-15",0,0,0,0,13,2,0,3,0,0,0,22,0,0,0,1,2,18,0,16,0,0,0,0,6,0,1,0,0,44,2,0,130
"1993-08-15",0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,1,3,26,1,38,0,0,0,0,14,1,0,25,0,85,4,0,211
"1993-09-15",0,0,0,1,126,0,0,26,0,109,0,20,0,36,0,0,1,44,9,61,3,0,0,0,34,2,5,32,0,153,0,0,662
"1993-10-15",0,0,1,0,4,32,0,31,0,161,0,11,0,14,0,0,0,28,85,50,5,0,0,46,42,8,1,59,0,16,0,0,594
"1993-11-15",0,0,137,0,16,29,1,13,0,51,0,7,0,38,0,1,0,21,9,64,0,0,0,5,38,7,1,61,0,34,5,0,538
"1993-12-15",0,0,12,0,2,1,0,27,0,9,0,8,0,0,0,0,4,12,0,34,0,0,0,2,17,1,0,25,0,51,7,0,212
"1994-01-15",0,0,7,1,3,0,0,2,0,0,0,4,0,0,0,0,0,4,0,7,0,0,0,1,6,0,0,1,3,0,3,0,42
"1994-02-15",0,0,3,0,0,0,0,7,0,1,0,1,0,0,0,0,0,10,0,7,6,0,0,0,9,0,0,13,0,2,0,0,59
"1994-03-15",0,0,0,0,13,0,0,14,0,0,0,7,0,0,0,0,0,4,0,5,0,0,0,0,2,0,1,4,0,0,1,0,51
"1994-04-15",0,0,1,0,4,0,0,2,0,0,0,6,1,0,0,0,0,7,1,3,0,0,0,0,1,0,2,2,0,0,3,0,33
"1994-05-15",0,0,0,0,5,0,0,2,0,0,0,18,0,0,0,0,0,4,1,8,0,0,0,0,3,0,0,4,0,2,6,0,53
"1994-06-15",0,0,0,1,2,0,0,1,0,0,0,38,0,1,0,0,0,6,4,14,0,0,0,0,9,0,1,3,0,1,4,0,85
"1994-07-15",0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,0,8,0,22,0,0,0,1,0,0,0,0,0,220,11,0,283
"1994-08-15",0,0,0,5,2,0,0,3,0,0,0,16,0,0,0,0,9,9,13,48,0,0,0,6,5,1,10,1,0,53,59,0,240
"1994-09-15",0,0,0,4,6,0,0,1,0,0,0,7,0,0,0,0,30,3,67,120,0,0,0,2,41,0,113,0,0,117,56,0,567
"1994-10-15",0,0,0,0,6,0,0,5,0,0,0,2,0,69,0,0,91,3,146,250,0,0,70,0,93,0,292,1,0,841,58,0,1927
"1994-11-15",0,1,4,35,64,0,631,3,0,0,0,13,0,0,0,0,5,44,200,360,0,0,16,104,50,0,496,127,0,898,267,0,3318
"1994-12-15",0,0,15,46,32,1,52,8,0,0,0,10,0,4,0,0,57,23,92,177,5,0,8,32,5,0,112,87,0,436,242,0,1444
"1995-01-15",1,0,2,85,14,0,0,28,0,0,0,49,0,0,0,0,4,30,4,120,0,1,4,0,53,0,20,27,0,139,104,0,685
"1995-02-15",0,0,1,17,6,0,0,25,0,0,0,37,0,0,0,0,0,14,0,43,0,0,0,0,24,0,7,5,0,67,22,0,268
"1995-03-15",0,0,2,1,2,0,0,35,0,0,0,20,0,0,0,0,1,8,0,21,0,0,1,0,14,0,2,9,0,73,10,0,199
"1995-04-15",0,0,4,2,2,0,0,24,1,0,0,24,0,0,0,1,10,4,4,10,2,0,0,0,4,0,5,6,0,40,9,0,152
"1995-05-15",0,0,1,4,12,0,0,11,1,0,0,5,0,0,0,0,49,295,0,12,0,0,0,0,5,0,8,3,0,43,13,0,462
"1995-06-15",0,0,0,12,16,0,0,8,1,0,0,14,0,0,0,0,27,29,0,66,0,0,0,0,4,0,0,3,0,413,2,0,595
"1995-07-15",0,0,0,7,17,0,0,12,0,0,0,9,1,0,1,7,45,8,0,73,0,0,0,351,9,0,2,143,0,249,2,0,936
"1995-08-15",0,0,0,11,36,0,0,25,0,0,0,19,0,11,0,15,45,6,1,86,0,0,0,241,241,0,58,1128,0,236,23,0,2182
"1995-09-15",0,0,6,8,155,0,31,101,0,13,0,51,2,48,1,0,40,127,33,274,9,0,1,903,4220,6,167,1789,0,1589,46,0,9620
"1995-10-15",0,0,8,13,243,0,554,88,1,51,0,301,12,54,0,12,35,114,533,422,10,0,0,1306,5302,25,111,2358,0,3007,18,0,14578
"1995-11-15",0,0,9,17,61,0,492,137,0,0,0,163,1,4,2,28,23,9,697,227,1,0,2,200,566,0,188,1488,0,871,5,0,5191
"1995-12-15",0,0,1,63,5,0,95,35,1,0,0,8,2,0,0,4,23,5,77,104,1,0,1,155,84,0,109,651,0,276,0,0,1700
"1996-01-15",0,0,5,5,14,0,4,55,6,0,0,12,1,0,0,9,20,1,13,51,4,0,0,0,11,0,39,89,1,63,43,0,446
"1996-02-15",0,0,1,1,13,0,0,41,0,0,0,12,0,1,0,15,6,1,2,19,4,0,2,0,19,0,24,21,0,46,17,0,245
"1996-03-15",0,0,0,1,15,0,0,42,0,0,0,12,0,0,0,49,8,3,1,10,0,0,1,0,10,0,18,64,0,12,10,0,256
"1996-04-15",0,0,0,3,28,0,1,23,0,0,0,11,0,1,0,13,8,4,13,10,2,0,0,1,9,0,8,87,0,90,4,0,316
"1996-05-15",0,0,1,5,44,0,0,24,0,0,0,5,0,0,0,6,19,0,10,14,0,0,0,0,6,0,13,46,0,25,1,0,219
"1996-06-15",0,0,2,12,51,0,7,64,0,0,0,10,0,1,0,0,6,2,14,9,0,0,0,1,25,0,40,101,0,30,7,0,382
"1996-07-15",0,0,2,14,28,0,1,165,0,0,1,13,0,0,2,3,6,7,1,25,0,0,1,1,70,0,74,199,0,93,2,0,708
"1996-08-15",0,0,3,6,17,0,12,317,0,0,2,9,0,1,0,16,41,24,18,192,0,0,1,4,104,75,64,248,0,1572,13,0,2739
"1996-09-15",0,0,10,42,74,1,147,562,0,0,0,60,2,6,6,6,12,31,278,85,2,0,23,20,134,934,438,2268,0,3186,66,0,8393
"1996-10-15",0,0,8,30,84,0,310,1072,0,0,0,70,5,69,0,25,15,421,1655,78,4,0,37,345,443,5447,466,3660,0,2025,144,0,16413
"1996-11-15",0,0,4,52,55,0,126,626,0,0,0,24,6,166,0,31,28,28,1146,35,0,0,40,261,101,690,173,1062,0,635,124,0,5413
"1996-12-15",0,0,2,19,16,0,15,161,1,0,0,11,0,42,0,10,3,3,160,25,2,0,3,4,7,8,56,247,0,164,49,0,1008
"1997-01-15",0,0,5,14,12,0,4,71,0,0,0,15,0,1,0,3,38,0,11,20,0,0,67,0,3,0,34,20,0,72,34,0,424
"1997-02-15",0,0,1,38,24,0,0,54,0,0,0,6,0,2,0,0,13,2,1,9,4,0,24,0,1,0,53,12,0,40,13,0,297
"1997-03-15",0,0,1,22,12,0,0,44,1,0,0,5,0,0,0,0,6,8,1,17,0,0,29,1,0,0,68,25,0,43,12,0,295
"1997-04-15",0,0,0,34,24,0,1,71,0,0,0,10,0,0,1,0,13,3,13,18,0,0,78,18,11,0,88,34,0,101,87,0,605
"1997-05-15",0,0,0,42,13,0,16,74,0,0,0,13,0,0,0,0,6,1,2,22,0,0,68,0,3,0,64,25,0,84,136,0,569
"1997-06-15",0,0,0,312,28,0,40,197,0,0,0,64,0,0,0,0,29,1,19,19,0,0,92,1,5,0,309,59,0,235,334,0,1744
"1997-07-15",0,0,0,998,64,0,18,301,3,0,0,822,0,37,0,46,14,2,22,44,1,1,94,14,9,0,1911,116,0,917,679,0,6113
"1997-08-15",0,0,0,855,99,0,2,1138,2,0,0,2541,0,48,2,109,13,5,29,49,8,0,210,0,10,3,2138,82,1,2147,1127,0,10618
"1997-09-15",0,0,0,1444,302,0,6,1147,3,3,0,2295,0,143,0,124,85,22,112,212,17,1,333,104,20,13,1988,97,0,3102,1115,0,12688
"1997-10-15",0,0,781,918,319,0,26,822,0,418,0,1457,1,1224,0,168,72,279,309,449,7,0,113,83,44,21,1185,717,1,2650,307,0,12371
"1997-11-15",0,0,594,249,144,0,3,423,0,98,0,738,0,388,60,76,58,74,178,296,9,0,25,97,6,0,369,579,0,1186,123,0,5773
"1997-12-15",0,0,193,198,72,0,10,165,1,0,0,324,0,27,4,9,18,12,26,74,0,0,10,54,1,0,66,308,0,351,121,0,2044
"1998-01-15",0,0,7,45,16,0,0,52,0,0,1,43,0,0,0,2,15,0,5,32,0,0,10,0,1,0,21,70,0,50,0,0,370
"1998-02-15",0,0,83,13,7,0,0,39,0,0,0,36,0,1,0,0,12,0,2,51,0,0,7,27,3,0,18,35,0,44,0,0,378
"1998-03-15",0,0,3,17,6,0,0,19,0,0,0,17,1,4,0,5,7,0,3,25,0,0,7,6,0,0,32,32,0,95,0,0,279
"1998-04-15",0,0,1,16,3,0,0,23,1,0,0,16,0,1,0,1,3,0,2,32,0,0,2,0,5,0,37,146,0,77,0,0,366
"1998-05-15",0,0,5,28,9,0,3,26,0,0,0,14,0,5,0,0,2,1,9,19,0,0,4,2,2,0,15,20,0,61,0,0,225
"1998-06-15",0,0,5,17,7,0,3,34,0,0,0,17,0,1,0,0,2,4,6,16,0,0,11,10,6,0,23,12,0,58,4,0,236
"1998-07-15",0,0,2,43,21,0,2,61,0,0,0,25,1,0,0,4,95,0,31,41,1,0,6,308,12,0,53,21,0,145,5,0,877
"1998-08-15",0,0,5,26,11,0,1,50,0,0,0,49,8,0,0,17,87,5,14,746,1,1,26,929,27,0,153,95,0,251,2,0,2504
"1998-09-15",1,0,10,53,3,0,1,88,0,0,0,100,3,0,4,14,416,4,105,735,19,0,10,180,195,9,624,829,0,579,0,0,3982
"1998-10-15",0,0,41,20,0,0,20,126,1,0,0,32,8,0,10,1,867,10,1847,864,15,0,1,702,472,66,429,2627,0,585,13,0,8757
"1998-11-15",0,0,14,11,25,0,3,41,0,0,0,14,0,0,3,2,263,3,1309,197,34,0,1,47,223,56,155,1424,0,389,1,0,4215
"1998-12-15",0,0,9,3,13,0,1,13,0,0,0,10,6,0,9,0,66,1,363,49,1,0,1,2,34,2,39,667,0,160,1,0,1450
"1999-01-15",0,0,0,0,104,0,0,3,0,0,0,7,0,0,0,0,1,0,6,3,0,0,3,0,0,0,6,61,0,47,0,0,241
"1999-02-15",0,0,0,0,39,0,0,2,0,0,0,6,0,4,0,0,1,0,6,4,0,0,2,1,1,0,5,30,0,42,0,0,143
"1999-03-15",0,0,0,0,39,0,0,1,0,0,0,3,0,16,0,0,1,0,5,2,0,0,2,0,0,0,9,26,0,87,0,0,191
"1999-04-15",0,0,0,0,20,0,0,1,0,0,0,3,0,4,0,0,0,0,5,3,0,0,1,0,1,0,10,130,0,72,0,0,250
"1999-05-15",0,0,0,0,59,0,98,1,0,0,0,2,0,21,0,0,1,1,25,2,0,0,1,0,1,0,4,19,0,58,0,0,293
"1999-06-15",0,0,0,0,46,0,65,2,0,0,0,3,0,4,0,0,0,4,495,1,0,0,4,0,2,0,6,12,0,54,6,0,704
"1999-07-15",0,0,0,0,143,0,65,3,0,0,0,3,0,0,0,1,6,0,508,3,0,0,2,16,3,0,15,30,0,136,8,0,942
"1999-08-15",0,0,0,0,73,0,32,3,0,0,0,8,2,0,0,1,5,4,595,63,2,0,9,45,7,0,42,118,0,229,3,0,1241
"1999-09-15",0,0,0,0,14,0,38,5,0,0,0,17,1,0,0,1,25,4,2515,62,35,0,3,9,53,36,171,720,0,533,0,0,4242
"1999-10-15",0,0,0,0,1,1,651,6,0,0,0,6,2,0,0,0,54,9,6322,74,27,0,1,35,129,267,118,2327,0,546,21,0,10597
"1999-11-15",0,0,0,0,163,0,98,2,0,5,0,2,0,0,0,0,16,3,1003,17,62,0,0,3,61,227,42,1259,0,360,2,0,3325
"1999-12-15",0,0,0,0,85,0,33,1,0,0,0,2,1,0,0,0,4,1,121,4,2,0,0,0,9,8,11,598,0,151,2,0,1033
"2000-01-15",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,14,0,8,0,0,31
"2000-02-15",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,6,0,9,0,0,24
