"","Aguascalientes","Baja California","Baja California Sur","Campeche","Chiapas","Chihuahua","Coahuila","Colima","Distrito Federal","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz","Yucatán","Zacatecas","total"
"1985-01-15",8,3,0,0,2,0,0,17,0,0,0,9,0,9,0,37,0,5,0,7,0,0,0,0,10,0,0,0,0,6,36,0,149
"1985-02-15",0,0,0,0,3,0,0,16,0,0,0,4,0,0,0,32,0,3,0,3,1,0,6,0,7,0,0,0,0,6,12,0,93
"1985-03-15",0,0,3,1,6,5,0,42,0,0,2,4,0,1,0,63,0,70,0,21,0,0,10,125,8,0,0,3,0,6,4,0,374
"1985-04-15",0,0,2,2,1,0,0,47,0,0,0,75,0,361,0,44,0,7,0,13,1,0,6,17,2,0,0,1,0,8,7,0,594
"1985-05-15",0,0,2,0,5,0,0,24,0,0,0,8,0,46,0,44,0,92,0,19,0,0,4,20,7,0,0,0,0,5,17,0,293
"1985-06-15",0,0,2,0,3,0,0,39,0,0,0,0,0,1,0,5,0,13,0,7,0,0,3,4,0,0,3,1,0,5,0,0,86
"1985-07-15",0,0,5,5,6,0,0,68,0,0,0,118,0,5,0,40,3,15,0,61,22,0,10,1,13,8,12,0,0,6,33,0,431
"1985-08-15",0,0,5,1,10,0,0,261,0,0,0,12,0,19,0,54,0,34,0,19,7,0,1,12,19,0,0,0,0,5,15,0,474
"1985-09-15",0,0,3,4,0,0,265,422,0,0,0,37,0,0,0,71,0,45,309,0,5,0,3,2209,525,0,112,0,0,36,32,0,4078
"1985-10-15",0,0,1,6,10,0,736,369,0,0,1,38,0,81,0,37,0,37,190,1,7,0,16,195,967,0,69,0,0,101,16,0,2878
"1985-11-15",0,0,5,0,10,0,341,403,0,0,0,23,1,0,0,4,0,54,307,173,23,0,39,43,729,0,92,0,0,146,2,0,2395
"1985-12-15",0,0,0,1,0,0,0,407,0,0,0,58,0,54,1,89,0,89,127,599,34,0,8,1,54,0,260,0,0,50,11,0,1843
"1986-01-15",0,0,0,3,12,0,0,31,0,0,0,1,0,28,0,23,0,0,83,63,9,0,1,5,33,0,6,0,0,16,4,0,318
"1986-02-15",0,0,7,1,3,0,0,33,0,0,0,0,0,13,0,27,0,4,2,1,5,0,4,0,12,0,1,0,0,13,4,0,130
"1986-03-15",0,0,0,0,3,0,0,28,0,0,0,6,0,4,0,12,0,0,2,1,4,0,6,0,1,0,5,0,0,26,0,0,98
"1986-04-15",0,0,7,0,13,0,0,40,0,0,0,1,0,14,0,14,2,3,0,1,0,0,3,3,13,15,4,0,0,15,2,0,150
"1986-05-15",0,0,1,1,1,0,0,22,0,0,0,11,0,12,0,16,3,1,5,0,0,0,4,0,31,8,3,0,0,18,3,0,140
"1986-06-15",0,0,7,0,20,0,0,5,0,0,0,8,0,0,0,5,0,11,0,2,22,0,3,0,28,6,2,0,0,52,6,0,177
"1986-07-15",0,0,57,0,46,0,0,14,0,0,0,40,0,0,0,6,0,25,2,0,344,1,1,2,38,0,8,2,0,310,4,0,900
"1986-08-15",0,0,44,1,47,0,1,19,0,0,0,3,0,44,0,22,0,39,0,2,364,0,1,1,39,88,5,0,0,993,0,0,1713
"1986-09-15",0,0,96,0,16,0,4,84,0,0,0,0,24,60,0,36,0,74,43,5,2117,28,7,78,147,0,23,0,0,3353,4,0,6199
