STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20070101,-9999,0,0,-9999,0,0,0,15,4,0,15,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,18.4,15,4,-9999,0,0,22.5,15,4
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20070201,-9999,0,0,-9999,0,0,0,22,19,0,22,19,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,24.0,22,19,-9999,0,0,24.5,22,19
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20070301,-9999,0,0,-9999,0,0,0,1,1,0,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,23.3,1,1,-9999,0,0,24.2,1,1
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20070601,-9999,0,0,-9999,0,0,0,27,25,0,27,25,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,25.0,27,25,-9999,0,0,25.2,27,25
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20070701,-9999,0,0,-9999,0,0,0,19,13,0,19,13,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,24.0,19,13,-9999,0,0,25.5,19,13
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20070801,-9999,0,0,-9999,0,0,0,18,5,0,18,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.9,18,5,-9999,0,0,24.9,18,5
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20071001,-9999,0,0,-9999,0,0,0,30,30,0,30,30,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.5,30,30,-9999,0,0,22.5,30,30
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20071101,-9999,0,0,-9999,0,0,0,29,29,0,29,29,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,17.9,29,29,-9999,0,0,17.9,29,29
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20071201,-9999,0,0,-9999,0,0,0,6,4,0,6,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,18.4,6,4,-9999,0,0,21.3,6,4
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20080101,-9999,0,0,-9999,0,0,0,25,10,0,25,10,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.5,25,10,-9999,0,0,23.1,25,10
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20080301,-9999,0,0,-9999,0,0,0,25,15,0,25,15,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,24.3,25,15,-9999,0,0,24.7,25,15
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20080401,-9999,0,0,-9999,0,0,0,26,15,0,26,15,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,24.0,26,15,-9999,0,0,25.2,26,15
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20080501,-9999,0,0,-9999,0,0,0,25,12,0,25,12,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,23.5,25,12,-9999,0,0,25.2,25,12
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20080601,-9999,0,0,-9999,0,0,0,13,3,0,13,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.0,13,3,-9999,0,0,25.2,13,3
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20080701,-9999,0,0,-9999,0,0,0,16,3,0,16,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,23.0,16,3,-9999,0,0,24.8,16,3
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20080801,-9999,0,0,-9999,0,0,0,16,5,0,16,5,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,23.0,16,5,-9999,0,0,24.9,16,5
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20080901,-9999,0,0,-9999,0,0,0,17,3,0,17,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.3,17,3,-9999,0,0,24.5,17,3
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20081001,-9999,0,0,-9999,0,0,0,13,4,0,13,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.8,13,4,-9999,0,0,24.5,13,4
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20081101,-9999,0,0,-9999,0,0,0,15,7,0,15,7,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,22.3,15,7,-9999,0,0,23.6,15,7
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20081201,-9999,0,0,-9999,0,0,0,10,3,0,10,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,20.2,10,3,-9999,0,0,22.0,10,3
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20090101,-9999,0,0,-9999,0,0,0,13,4,0,13,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,17.8,13,4,-9999,0,0,20.6,13,4
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20090201,-9999,0,0,-9999,0,0,0,8,3,0,8,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,20.6,8,3,-9999,0,0,23.4,8,3
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20090301,-9999,0,0,-9999,0,0,0,18,13,0,18,13,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,23.0,18,13,-9999,0,0,24.9,18,13
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20090401,-9999,0,0,-9999,0,0,0,12,3,0,12,3,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,24.3,12,3,-9999,0,0,25.6,12,3
GHCND:CBM00048991,PHNOM PENH INTERNATIONAL CB,12.2,11.547,104.844,20090501,-9999,0,0,-9999,0,0,0,20,10,0,20,10,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,-9999,0,0,23.3,20,10,-9999,0,0,25.4,20,10
